Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
11/02/2020|2.99|3|2.93|2.93|3|3|3.2|3.2|3.4|3.4|3.4|3.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86
11/09/2020|3.01|3|2.94|2.94|3.01|3.01|3.22|3.22|3.43|3.43|3.43|3.43|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83
11/16/2020|3.02|3.07|3.15|3.15|3.27|3.27|3.49|3.49|3.71|3.71|3.71|3.71|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89
11/23/2020|3.01|3.01|2.94|2.94|2.97|2.97|3.18|3.18|3.4|3.4|3.4|3.4|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77
11/30/2020|3.01|3.08|3.09|3.09|3.28|3.28|3.51|3.51|3.7|3.7|3.7|3.7|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77|2.77
12/07/2020|3|2.99|2.92|2.92|2.98|2.98|3.21|3.21|3.42|3.42|3.42|3.42|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76
12/14/2020|3.2|2.99|2.96|2.96|2.91|2.91|3.15|3.15|3.39|3.39|3.39|3.39|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76|2.76
12/21/2020|3.19|2.96|2.96|2.96|2.91|2.91|3.15|3.15|3.39|3.39|3.39|3.39|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72
12/28/2020|3.19|2.97|2.88|2.88|2.87|2.87|3.13|3.13|3.4|3.4|3.4|3.4|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71|2.71
01/04/2021|3.2|3.04|2.9|2.9|2.87|2.87|3.12|3.12|3.36|3.36|3.36|3.36|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72
01/11/2021|3.2|2.96|2.93|2.93|2.87|2.87|3.13|3.13|3.4|3.4|3.4|3.4|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7
01/18/2021|3.2|3.13|3.1|3.1|3.28|3.28|3.57|3.57|3.84|3.84|3.84|3.84|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84|2.84
01/25/2021|3.2|3.07|2.94|2.94|2.96|2.96|3.25|3.25|3.53|3.53|3.53|3.53|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82
02/01/2021|3.18|2.95|2.93|2.93|2.92|2.92|3.2|3.2|3.49|3.49|3.49|3.49|2.28|2.28|2.28|2.28|2.28|2.28|2.28|2.28|2.28|2.28|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78
02/08/2021|3.18|2.93|2.92|2.92|2.9|2.9|3.22|3.22|3.52|3.52|3.52|3.52|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.29|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78
02/15/2021|3.18|2.94|2.85|2.85|2.87|2.87|3.2|3.2|3.53|3.53|3.53|3.53|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78
02/22/2021|3.18|2.91|2.82|2.82|2.85|2.85|3.2|3.2|3.54|3.54|3.54|3.54|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86
03/01/2021|3.17|2.94|2.92|2.92|3.03|3.03|3.42|3.42|3.77|3.77|3.77|3.77|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02
03/08/2021|3.17|2.87|2.85|2.85|2.85|2.85|3.23|3.23|3.54|3.54|3.54|3.54|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07
03/15/2021|3.18|2.89|2.87|2.87|2.89|2.89|3.27|3.27|3.56|3.56|3.56|3.56|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1
03/22/2021|3.18|2.88|2.88|2.88|2.91|2.91|3.34|3.34|3.65|3.65|3.65|3.65|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14
03/29/2021|3.18|2.9|2.81|2.81|2.92|2.92|3.36|3.36|3.69|3.69|3.69|3.69|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23
04/05/2021|3.18|2.89|2.88|2.88|2.96|2.96|3.42|3.42|3.73|3.73|3.73|3.73|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24
04/12/2021|3.18|2.92|2.87|2.87|2.96|2.96|3.41|3.41|3.73|3.73|3.73|3.73|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19
04/19/2021|3.18|3.01|2.9|2.9|2.96|2.96|3.37|3.37|3.67|3.67|3.67|3.67|2.45|2.45|2.45|2.45|2.45|2.45|2.45|2.45|2.45|2.45|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09
04/26/2021|3.18|2.9|2.9|2.9|2.95|2.95|3.36|3.36|3.66|3.66|3.66|3.66|2.37|2.37|2.37|2.37|2.37|2.37|2.37|2.37|2.37|2.37|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02
05/03/2021|3.18|2.87|2.82|2.82|2.76|2.76|3.17|3.17|3.45|3.45|3.45|3.45|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03
05/10/2021|3.17|2.88|2.84|2.84|2.82|2.82|3.24|3.24|3.55|3.55|3.55|3.55|2.38|2.38|2.38|2.38|2.38|2.38|2.38|2.38|2.38|2.38|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01
05/17/2021|3.17|2.86|2.79|2.79|2.71|2.71|3.16|3.16|3.48|3.48|3.48|3.48|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.34|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99
05/24/2021|3.17|2.84|2.78|2.78|2.71|2.71|3.14|3.14|3.45|3.45|3.45|3.45|2.39|2.39|2.39|2.39|2.39|2.39|2.39|2.39|2.39|2.39|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05
05/31/2021|3.17|2.86|2.72|2.72|2.67|2.67|3.1|3.1|3.41|3.41|3.41|3.41|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
06/07/2021|3.17|2.86|2.73|2.73|2.72|2.72|3.16|3.16|3.48|3.48|3.48|3.48|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04
06/14/2021|3.17|2.85|2.72|2.72|2.63|2.63|3.04|3.04|3.35|3.35|3.35|3.35|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|2.31|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01
06/21/2021|3.17|2.84|2.77|2.77|2.64|2.64|3.01|3.01|3.28|3.28|3.28|3.28|2.32|2.32|2.32|2.32|2.32|2.32|2.32|2.32|2.32|2.32|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98|2.98
06/28/2021|3.17|2.89|2.84|2.84|2.65|2.65|2.97|2.97|3.19|3.19|3.19|3.19|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07
07/05/2021|3.17|2.9|2.86|2.86|2.66|2.66|2.97|2.97|3.19|3.19|3.19|3.19|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03
07/12/2021|3.16|2.87|2.77|2.77|2.6|2.6|2.89|2.89|3.11|3.11|3.11|3.11|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95|2.95
07/19/2021|3.16|2.88|2.83|2.83|2.59|2.59|2.87|2.87|3.1|3.1|3.1|3.1|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.3|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93
07/26/2021|2.99|2.89|2.84|2.84|2.65|2.65|2.9|2.9|3.1|3.1|3.1|3.1|2.22|2.22|2.22|2.22|2.22|2.22|2.22|2.22|2.22|2.22|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83
08/02/2021|2.99|2.88|2.74|2.74|2.57|2.57|2.84|2.84|3.06|3.06|3.06|3.06|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85
08/09/2021|2.99|2.84|2.77|2.77|2.56|2.56|2.82|2.82|3.01|3.01|3.01|3.01|2.18|2.18|2.18|2.18|2.18|2.18|2.18|2.18|2.18|2.18|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82
08/16/2021|2.99|2.87|2.76|2.76|2.56|2.56|2.83|2.83|3.04|3.04|3.04|3.04|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92
08/23/2021|3.03|2.9|2.78|2.78|2.55|2.55|2.8|2.8|2.98|2.98|2.98|2.98|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.24|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91
08/30/2021|3.01|2.8|2.76|2.76|2.5|2.5|2.76|2.76|2.95|2.95|2.95|2.95|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.25|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92
09/06/2021|3.01|2.87|2.75|2.75|2.55|2.55|2.83|2.83|3.02|3.02|3.02|3.02|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.26|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92
09/13/2021|3|2.86|2.74|2.74|2.54|2.54|2.82|2.82|3.03|3.03|3.03|3.03|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.27|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93
09/20/2021|2.95|2.76|2.7|2.7|2.55|2.55|2.83|2.83|3.04|3.04|3.04|3.04|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.2|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91
09/27/2021|2.95|2.84|2.73|2.73|2.55|2.55|2.81|2.81|2.97|2.97|2.97|2.97|2.23|2.23|2.23|2.23|2.23|2.23|2.23|2.23|2.23|2.23|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93
10/04/2021|2.96|2.88|2.76|2.76|2.6|2.6|2.9|2.9|3.06|3.06|3.06|3.06|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|2.36|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06
10/11/2021|3.17|2.89|2.87|2.87|2.64|2.64|2.94|2.94|3.13|3.13|3.13|3.13|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|2.33|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04
10/18/2021|3.19|2.95|2.87|2.87|2.63|2.63|2.91|2.91|3.08|3.08|3.08|3.08|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1
10/25/2021|3.19|2.99|2.96|2.96|2.66|2.66|2.92|2.92|3.07|3.07|3.07|3.07|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14
11/01/2021|3.19|3.03|3.01|3.01|2.68|2.68|2.92|2.92|3.04|3.04|3.04|3.04|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2
11/08/2021|3.19|3.01|2.97|2.97|2.66|2.66|2.9|2.9|3|3|3|3|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14
11/15/2021|3.19|3.09|2.98|2.98|2.69|2.69|2.88|2.88|2.97|2.97|2.97|2.97|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|2.35|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03
11/22/2021|3.19|3.01|3|3|2.61|2.61|2.83|2.83|2.91|2.91|2.91|2.91|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16
11/29/2021|3.19|3.05|3.03|3.03|2.59|2.59|2.8|2.8|2.85|2.85|2.85|2.85|2.52|2.52|2.52|2.52|2.52|2.52|2.52|2.52|2.52|2.52|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16
12/06/2021|3.19|3|2.99|2.99|2.61|2.61|2.8|2.8|2.85|2.85|2.85|2.85|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16
12/13/2021|3.11|3.01|2.99|2.99|2.57|2.57|2.71|2.71|2.74|2.74|2.74|2.74|2.48|2.48|2.48|2.48|2.48|2.48|2.48|2.48|2.48|2.48|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16
12/20/2021|3.13|3.03|3.04|3.04|2.57|2.57|2.7|2.7|2.72|2.72|2.72|2.72|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|2.44|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17
12/27/2021|3.13|3.12|2.96|2.96|2.53|2.53|2.66|2.66|2.7|2.7|2.7|2.7|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|2.4|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1
01/03/2022|3.13|3.12|3.02|3.02|2.61|2.61|2.72|2.72|2.75|2.75|2.75|2.75|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|2.43|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17
01/10/2022|3.14|3.11|3.01|3.01|2.61|2.61|2.75|2.75|2.79|2.79|2.79|2.79|2.51|2.51|2.51|2.51|2.51|2.51|2.51|2.51|2.51|2.51|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28
01/17/2022|3.14|3.09|3.09|3.09|2.69|2.69|2.84|2.84|2.88|2.88|2.88|2.88|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51
01/24/2022|3.14|3.12|3.12|3.12|2.72|2.72|2.85|2.85|2.87|2.87|2.87|2.87|2.88|2.88|2.88|2.88|2.88|2.88|2.88|2.88|2.88|2.88|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62
01/31/2022|3.14|3.12|3.07|3.07|2.78|2.78|2.92|2.92|2.95|2.95|2.95|2.95|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61
02/07/2022|3.21|3.19|3.17|3.17|2.83|2.83|2.93|2.93|2.94|2.94|2.94|2.94|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61|3.61
